time;I(C2);I(XQ1:E);I(XQ2:E);I(XQ3:E);I(XQ4:E);P(R2);V(/dc_plus);user0;
0.672067;-19.3083;-0.000258621;407.758;-0.000258621;407.758;42210.2;1299.39;1301.77;
0.672359;-15.714;-0.000211794;340.156;-0.000211794;340.156;42612.1;1305.56;1307.86;
0.672875;-5.51417;-0.00012883;224.195;-0.00012883;224.195;43128.4;1313.44;1315.6;
0.673432;8.86839;-3.87856e-05;101.81;-3.87856e-05;101.81;43405.4;1317.66;1319.65;
0.673866;20.9317;2.99964e-05;11.6348;2.99964e-05;11.6348;43421.7;1317.9;1319.67;
0.674112;27.7475;5.71586e-05;0.00368563;5.71586e-05;0.00368563;43381.7;1317.3;1318.47;
0.674427;36.1169;8.54761e-05;-4.02118e-05;8.54767e-05;-4.02112e-05;43309.3;1316.2;1315.64;
0.674728;43.5632;0.000112031;-6.19018e-05;0.000112031;-6.19018e-05;43226.9;1314.94;1311.61;
0.675272;55.316;0.000159522;-0.000101728;0.000159523;-0.000101728;43056;1312.34;1301;
0.676272;70.1324;0.000243694;-0.000176273;0.000243694;-0.000176273;42692.6;1306.79;1270.47;
0.677272;75.2833;0.000322409;-0.000251709;0.00032241;-0.000251709;42296.4;1300.71;1225.97;
0.678272;70.5804;0.000394636;-0.00032712;0.000394636;-0.00032712;41903;1294.65;1167.98;
0.679272;56.7341;0.000459898;-0.000401554;0.000459899;-0.000401554;41547.1;1289.14;1097.14;
0.680272;35.3448;0.000517958;-0.000473716;0.000517958;-0.000473716;41258.7;1284.66;1014.24;
0.681272;8.75087;0.000568868;-0.000542119;0.000568868;-0.000542119;41060.2;1281.56;920.178;
0.682272;-20.2154;0.000612902;-0.000605177;0.000612902;-0.000605177;40964.5;1280.07;815.994;
0.683272;-48.5248;0.000650466;-0.000661306;0.000650466;-0.000661306;40974.1;1280.22;702.834;
0.684272;-73.2665;0.000681998;-0.000709038;0.000681998;-0.000709038;41080.9;1281.89;581.943;
0.685272;-91.9452;0.000707877;-0.00074712;0.000707877;-0.00074712;41267.1;1284.79;454.651;
0.686272;-102.732;0.000728349;-0.000774606;0.000728349;-0.000774606;41507.2;1288.52;322.357;
0.687272;-104.643;0.000743468;-0.000790911;0.000743468;-0.000790911;41770.5;1292.6;186.517;
0.688272;-97.6256;0.000753074;-0.000795851;0.000753074;-0.000795851;42024.1;1296.52;48.6262;
0.689272;-82.5483;0.0007568;-0.000789634;0.0007568;-0.000789634;42236.3;1299.79;-89.7999;
0.690272;-61.0979;0.000754101;-0.00077283;0.000754101;-0.00077283;42380;1302;-227.238;
0.691272;-35.5907;0.000744323;-0.000746308;0.000744323;-0.000746308;42435.6;1302.85;-362.177;
0.692272;-8.7234;0.000726781;-0.000711155;0.000726781;-0.000711155;42393.3;1302.2;-493.132;
